,,,,
,,Flywheel-1,,
,,Angular Displacement1 (deg),,
Frame,Time,Ref. Coordinate System: ,,
492,3.273,1.3858E+02,,
493,3.280,1.3519E+02,,
494,3.287,1.3181E+02,,
495,3.293,1.2843E+02,,
496,3.300,1.2504E+02,,
497,3.307,1.2166E+02,,
498,3.313,1.1827E+02,,
499,3.320,1.1489E+02,,
500,3.327,1.1151E+02,,
501,3.333,1.0812E+02,,
502,3.340,1.0474E+02,,
503,3.347,1.0136E+02,,
504,3.353,9.7972E+01,,
505,3.360,9.4588E+01,,
506,3.367,9.1205E+01,,
507,3.373,8.7821E+01,,
508,3.380,8.4437E+01,,
509,3.387,8.1053E+01,,
510,3.393,7.7670E+01,,
511,3.400,7.4286E+01,,
512,3.407,7.0902E+01,,
513,3.413,6.7518E+01,,
514,3.420,6.4135E+01,,
515,3.427,6.0751E+01,,
516,3.433,5.7367E+01,,
517,3.440,5.3983E+01,,
518,3.447,5.0600E+01,,
519,3.453,4.7216E+01,,
520,3.460,4.3832E+01,,
521,3.467,4.0448E+01,,
522,3.473,3.7065E+01,,
523,3.480,3.3681E+01,,
524,3.487,3.0297E+01,,
525,3.493,2.6913E+01,,
526,3.500,2.3529E+01,,
527,3.507,2.0146E+01,,
528,3.513,1.6762E+01,,
529,3.520,1.3378E+01,,
530,3.527,9.9945E+00,,
531,3.533,6.6107E+00,,
532,3.540,3.2270E+00,,
533,3.547,-1.5677E-01,,
534,3.553,-3.5405E+00,,
535,3.560,-6.9243E+00,,
536,3.567,-1.0308E+01,,
537,3.573,-1.3692E+01,,
538,3.580,-1.7076E+01,,
539,3.587,-2.0459E+01,,
540,3.593,-2.3843E+01,,
541,3.600,-2.7227E+01,,
542,3.607,-3.0611E+01,,
543,3.613,-3.3994E+01,,
544,3.620,-3.7378E+01,,
545,3.627,-4.0762E+01,,
546,3.633,-4.4146E+01,,
547,3.640,-4.7529E+01,,
548,3.647,-5.0913E+01,,
549,3.653,-5.4297E+01,,
550,3.660,-5.7681E+01,,
551,3.667,-6.1064E+01,,
552,3.673,-6.4448E+01,,
553,3.680,-6.7832E+01,,
554,3.687,-7.1216E+01,,
555,3.693,-7.4599E+01,,
556,3.700,-7.7983E+01,,
557,3.707,-8.1367E+01,,
558,3.713,-8.4751E+01,,
559,3.720,-8.8134E+01,,
560,3.727,-9.1518E+01,,
561,3.733,-9.4902E+01,,
562,3.740,-9.8286E+01,,
563,3.747,-1.0167E+02,,
564,3.753,-1.0505E+02,,
565,3.760,-1.0844E+02,,
566,3.767,-1.1182E+02,,
567,3.773,-1.1520E+02,,
568,3.780,-1.1859E+02,,
569,3.787,-1.2197E+02,,
570,3.793,-1.2536E+02,,
571,3.800,-1.2874E+02,,
572,3.807,-1.3212E+02,,
573,3.813,-1.3551E+02,,
574,3.820,-1.3889E+02,,
575,3.827,-1.4227E+02,,
576,3.833,-1.4566E+02,,
577,3.840,-1.4904E+02,,
578,3.847,-1.5243E+02,,
579,3.853,-1.5581E+02,,
580,3.860,-1.5919E+02,,
581,3.867,-1.6258E+02,,
582,3.873,-1.6596E+02,,
583,3.880,-1.6934E+02,,
584,3.887,-1.7273E+02,,
585,3.893,-1.7611E+02,,
